Frequency (Hz),Channel 1 (dBV),Phase (deg)
91.40000000000001,-95.52837572950578,-175.9068598717572
91.59999999999999,-95.40951115677679,146.9992486954184
91.8,-95.01501708676288,100.3985623860037
92,-95.33162556787609,60.33991426815705
92.2,-94.61827510650379,22.23812974865743
92.40000000000001,-95.63806413373528,-23.98122353263
92.59999999999999,-94.47089063766511,-63.90507220536445
92.8,-95.61909803047936,-98.42342370734646
93,-94.56535677166426,-140.4655947029375
93.2,-93.93166381469752,178.5664254933283
93.40000000000001,-93.83247359943641,136.9865695458589
93.59999999999999,-93.95183722061419,90.68417296452084
93.8,-93.76906237231859,52.80714420255958
94,-94.6738487887589,6.076276124590272
94.2,-93.70088831464972,-26.46595426932677
94.40000000000001,-94.73031627056483,-68.78004708192246
94.59999999999999,-93.11584811317452,-109.7209242731725
94.8,-93.30504258133837,-148.9937565428231
95,-93.37867699932603,165.096619782569
95.2,-93.09469097777276,125.9616785984747
95.40000000000001,-92.28655684389332,83.55022473084593
95.59999999999999,-93.23586195329742,42.1519851666912
95.8,-92.7662534887598,-1.242651096218461
96,-92.33513802392483,-38.59115616648768
96.2,-92.83641507287938,-82.50621918637169
96.40000000000001,-92.35536881046934,-121.3401607077711
96.59999999999999,-92.15757573932814,-158.2936616406758
96.8,-91.18418135026616,157.6334311318809
97,-91.553779204462,116.7206751492049
97.2,-90.73794179081715,74.57722452170908
97.40000000000001,-90.77396777099828,30.92349472278169
97.59999999999999,-90.64234961701877,-9.616582090365917
97.8,-90.93223416572805,-50.62575853685262
98,-90.10270136108652,-90.82153813811991
98.2,-90.23511453299129,-128.9834819213806
98.40000000000001,-89.3227943387278,-172.1905278675659
98.59999999999999,-89.1586165156383,146.1964611019586
98.8,-88.77146411017978,104.0202046868429
99,-88.52193063311853,62.55174821703897
99.2,-88.54825586355815,21.85269427945236
99.40000000000001,-87.75067428987482,-23.70172819341238
99.59999999999999,-88.10435604364898,-61.74858269536202
99.8,-87.55477751678413,-105.6349396633359
100,-87.30796735231932,-142.983477840727
100.2,-86.74797271814874,172.8275657932154
100.4,-86.6406749051734,133.4720024118969
100.6,-85.52346600246145,89.76752224381177
100.8,-85.55024201148368,49.25202727600909
101,-84.99535543670308,4.072705901751009
101.2,-84.54309293725464,-35.73493433205188
101.4,-84.21124600480545,-79.84694952123616
101.6,-83.55818034862276,-121.220774897498
101.8,-83.12929566733666,-163.1724586415893
102,-82.55903987826298,150.7329977144591
102.2,-82.09111484249055,109.7978583976204
102.4,-81.82505523884228,65.61619356532063
102.6,-81.05295761700253,22.03695900641319
102.8,-80.6512034573357,-20.95886273662468
103,-80.0698381244935,-66.08507264072048
103.2,-79.4871293297481,-110.6575100561088
103.4,-79.01218285209593,-155.1517578483425
103.6,-78.39899532796485,158.5509294738197
103.8,-77.9908502087697,112.5436971299113
104,-77.47418252885636,65.47329088076474
104.2,-77.14537093868741,18.50891299397449
104.4,-76.85819673129515,-29.56920668421171
104.6,-76.81612177546657,-78.05705989160282
104.8,-76.81703202482582,-124.9797835590639
105,-76.95627078265362,-173.1509867436222
105.2,-77.01678770617052,139.9760565203629
105.4,-77.43218507667038,92.55277780494569
105.6,-77.66396567019397,45.60287303843404
105.8,-78.15762774060258,-0.9094106979072092
106,-78.59599091388718,-46.22672425637587
106.2,-79.17139286918625,-92.05934753557895
106.4,-79.61295809989348,-135.731453969745
106.6,-80.12306368549665,178.5240750876232
106.8,-80.6471568742878,135.6884048279906
107,-81.03614635993031,92.06542786700628
107.2,-81.74515287020006,46.87947524119718
107.4,-82.09346311963479,6.314027035501701
107.6,-82.65294404438239,-36.84736706949317
107.8,-82.67624188376253,-78.9271268051322
108,-83.33387710164715,-123.1232477587203
108.2,-83.44628279567642,-165.0979074109984
108.4,-83.99154257851839,151.7376917827865
108.6,-84.34418782908497,108.5055019508049
108.8,-84.85250204325772,68.12099585241333
109,-85.11085896397843,25.89440063695431
109.2,-85.30544664467193,-16.66953647231662
109.4,-85.46434623373251,-58.50836263137854
109.6,-85.93871584674703,-100.4901103492168
109.8,-86.17316268533111,-144.0761552915536
110,-86.31790159892903,175.3994640486046
110.2,-86.94255196319303,132.6968102278583
110.4,-86.61897079158391,91.8688532632337
110.6,-87.31780807617042,48.43475047505586
110.8,-87.32398113861592,6.538256002298156
111,-87.86723423214562,-35.53166079698138
111.2,-87.95256334254992,-75.89941156267832
111.4,-88.22722337705102,-120.5770279641477
111.6,-88.46752737685213,-159.4148296256652
111.8,-88.84751498663945,155.6801313097122
112,-88.78267852910227,115.0932437460995
112.2,-89.38284631183983,73.61949139212595
112.4,-89.49392873066346,30.88757941423983
112.6,-89.99906497483531,-9.998419497113535
112.8,-89.94538783493438,-51.70864467982199
113,-90.58771856896121,-91.99400030630385
113.2,-90.73150727027659,-129.1997074517175
113.4,-90.55384302369887,-175.3162560865109
113.6,-90.39591721168961,145.5003841879357
113.8,-91.1100823739112,99.23406017473577
114,-91.64804640615725,59.74362840518418
114.2,-91.34501650262509,20.06275848531081
114.4,-92.05463337803529,-21.38025773342914
114.6,-91.74255887082795,-65.64911371456003
114.8,-92.28794577212327,-105.8214206725759
115,-92.16120904992695,-143.0085321536527
115.2,-93.02559140931962,172.7731071676391
115.4,-92.44855153222764,130.7409290335358
115.6,-93.03961141735185,92.09626316152485
115.8,-93.21035087508115,50.61611393768265
116,-93.68931377827005,11.06625381749155
116.2,-92.80479864374998,-33.61431451005367
116.4,-93.27840315096688,-71.47434033644382
116.6,-93.3102033449458,-117.0836906002666
116.8,-93.59152722257484,-164.0956700602787
117,-94.56359476220783,161.1246841313314
117.2,-94.05581963778545,120.5190552546522
117.4,-94.40360955819712,79.6703999402295
117.6,-93.78734775846569,33.51212670987859
117.8,-95.06165518568686,-4.11692918597046
118,-94.62113490006324,-47.51034777108836
118.2,-95.13124407185485,-92.70677560660313
118.4,-94.87520790547889,-124.9377706867855
118.6,-95.5809106095474,-169.6836230854201
118.8,-94.94662502392106,140.1698651345612
119,-96.53979177085006,110.3364043206567
119.2,-95.84398473347082,65.62777096833403
119.4,-95.41308219638465,26.9655898819207
119.6,-96.14646387866148,-21.20796588251025
119.8,-96.85798564373562,-54.93610938219081
120,-96.51755448042641,-96.94842858522625
120.2,-96.29137403903385,-139.2354594707988
120.4,-96.24144789018005,177.8942001915674
120.6,-96.34438481303015,135.9901222687921
120.8,-97.75723030090629,85.492909739303
121,-97.67635077155182,54.01744833008701
121.2,-97.68336471195909,16.99707688298086
121.4,-98.46345315973723,-30.13017325886449
121.6,-97.08776902680984,-61.20107655023497
121.8,-97.16843688168794,-110.1333093995748
122,-98.02360971489017,-154.080696637358
122.2,-98.3507574854965,165.3393682977358
122.4,-97.8573138594011,122.9140637592113
122.6,-99.47081386399256,86.55301980868944
122.8,-99.16755051147018,44.47808943611661
123,-97.74396185562301,3.559989627561945
123.2,-100.31388617634,-41.8225758983358
123.4,-99.84803769629131,-85.98374827790015
123.6,-99.91304796618715,-120.7245959655533
123.8,-101.2782868453465,-158.682636929931
124,-101.1786488816924,168.754522184813
124.2,-99.15040847517197,124.6388793789081
124.4,-99.86005761252991,75.53845588878811
124.6,-100.5748036105192,42.82009269825672
124.8,-100.5117546489663,-10.54637003749788
125,-102.3416806148886,-43.75428747347596
125.2,-101.2074370283634,-76.54129613269302
125.4,-101.1044370349607,-118.4709756825382
125.6,-101.0195059719612,178.6293621366272
125.8,-102.1840322804325,162.3906929097904
126,-103.2740752285841,113.9842511892685
126.2,-102.5320703962793,80.37622198298091
126.4,-101.9677912888106,35.84527241117216
126.6,-102.2291009094251,5.52376181873268
126.8,-102.0950997026789,-44.77283462189715
127,-100.7885519915114,-89.2658839768539
127.2,-103.5333108337716,-128.0953771011982
127.4,-102.1244156865544,-162.6939502500134
127.6,-103.9104763192402,159.097004032031
127.8,-101.1901337138997,113.3362694049046
128,-103.3074235012988,74.29346296380049
128.2,-103.0180160722722,34.79905826297916
128.4,-102.6887434056723,-5.437968571379106
