#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19AED
#Date Time: 2025-12-02 13:01:24.059
#Sample rate: 100000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Basic
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.03240999999999999,-0.003262004693966307
0.03242,-0.003262004693966307
0.03242999999999999,-0.002926551187607002
0.03244,-0.003262004693966307
0.03245,-0.003262004693966307
0.03246,-0.003262004693966307
0.03247,-0.003262004693966307
0.03247999999999999,-0.003262004693966307
0.03249,-0.003262004693966307
0.03249999999999999,-0.003262004693966307
0.03251,-0.003262004693966307
0.03251999999999999,-0.003262004693966307
0.03253,-0.003262004693966307
0.03254,-0.003597458200325613
0.03255,-0.003262004693966307
0.03256,-0.003262004693966307
0.03256999999999999,-0.003262004693966307
0.03258,-0.003262004693966307
0.03258999999999999,-0.003597458200325613
0.0326,-0.003597458200325766
0.03261,-0.003262004693966307
0.03262,-0.003262004693966307
0.03263,-0.003262004693966307
0.03264,-0.003262004693966307
0.03265,-0.003262004693966307
0.03265999999999999,-0.003262004693966307
0.03267,-0.003262004693966307
0.03267999999999999,-0.003262004693966307
0.03269,-0.003597458200325766
0.0327,-0.003262004693966307
0.03271,-0.003262004693966307
0.03272,-0.00326200469396646
0.03273,-0.003597458200325766
0.03274,-0.003597458200325766
0.03274999999999999,-0.003262004693966307
0.03276,-0.003262004693966307
0.03276999999999999,-0.003262004693966307
0.03278,-0.003597458200325766
0.03279,-0.003262004693966307
0.0328,-0.003262004693966307
0.03281,-0.003597458200325766
0.03282,-0.003597458200325766
0.03283,-0.003597458200325766
0.03283999999999999,-0.00326200469396646
0.03285,-0.003262004693966307
0.03285999999999999,-0.003262004693966307
0.03287,-0.003597458200325766
0.03288,-0.00326200469396646
0.03289,-0.003597458200325766
0.0329,-0.003597458200325766
0.03290999999999999,-0.003262004693966307
0.03292,-0.003262004693966307
0.03292999999999999,-0.003262004693966307
0.03294,-0.003262004693966307
0.03294999999999999,-0.003262004693966307
0.03296,-0.002926551187606849
0.03297,-0.003262004693966307
0.03298,-0.003262004693966307
0.03299,-0.003597458200325766
0.03299999999999999,-0.002926551187606849
0.03301,-0.003262004693966307
0.03301999999999999,-0.003262004693966307
0.03303,-0.003262004693966307
0.03304,-0.003262004693966307
0.03305,-0.003262004693966307
0.03306,-0.003262004693966307
0.03307,-0.003262004693966307
0.03308,-0.002926551187606849
0.03308999999999999,-0.003262004693966307
0.0331,-0.003262004693966307
0.03310999999999999,-0.003262004693966307
0.03312,-0.003597458200325766
0.03313,-0.00326200469396646
0.03314,-0.003597458200325766
0.03315,-0.003262004693966307
0.03316,-0.003262004693966307
0.03317,-0.003262004693966307
0.03317999999999999,-0.003262004693966307
0.03319,-0.003262004693966307
0.03319999999999999,-0.003597458200325613
0.03321,-0.003262004693966307
0.03322,-0.003597458200325613
0.03323,-0.003262004693966307
0.03324,-0.003262004693966307
0.03324999999999999,-0.003262004693966307
0.03326,-0.003262004693966307
0.03326999999999999,-0.003262004693966307
0.03328,-0.003262004693966307
0.03328999999999999,-0.003597458200325613
0.0333,-0.003597458200325766
0.03331,-0.00326200469396646
0.03332,-0.003597458200325766
0.03333,-0.003597458200325766
0.03333999999999999,-0.003597458200325766
0.03335,-0.003597458200325766
0.03335999999999999,-0.003597458200325766
0.03337,-0.003597458200325766
0.03338,-0.003597458200325613
0.03339,-0.003262004693966307
0.0334,-0.003597458200325766
0.03341,-0.003597458200325766
0.03342,-0.003597458200325766
0.03342999999999999,-0.003262004693966307
0.03344,-0.003262004693966307
0.03344999999999999,-0.003597458200325613
0.03346,-0.003597458200325766
0.03347,-0.003597458200325766
0.03348,-0.003597458200325766
0.03349,-0.00326200469396646
0.0335,-0.003597458200325766
0.03351,-0.003597458200325766
0.03351999999999999,-0.00326200469396646
0.03353,-0.003262004693966307
0.03353999999999999,-0.003597458200325613
0.03355,-0.003262004693966307
0.03356,-0.003262004693966307
0.03357,-0.003262004693966307
0.03358,-0.003262004693966307
0.03358999999999999,-0.003597458200325766
0.0336,-0.003262004693966307
0.03360999999999999,-0.003597458200325613
0.03362,-0.003597458200325766
0.03362999999999999,-0.00326200469396646
0.03364,-0.003262004693966307
0.03365,-0.00326200469396646
0.03366,-0.003597458200325766
0.03367,-0.003597458200325766
0.03367999999999999,-0.003597458200325766
0.03369,-0.003597458200325766
0.03369999999999999,-0.003597458200325766
0.03371,-0.003262004693966307
0.03372,-0.003597458200325613
0.03373,-0.003262004693966307
0.03374,-0.00326200469396646
0.03375,-0.003597458200325766
0.03376,-0.003597458200325766
0.03376999999999999,-0.003597458200325766
0.03378,-0.003597458200325766
0.03378999999999999,-0.003597458200325766
0.0338,-0.003597458200325766
0.03381,-0.003597458200325766
0.03382,-0.003597458200325766
0.03383,-0.003597458200325766
0.03384,-0.003597458200325766
0.03385,-0.003597458200325766
0.03385999999999999,-0.003597458200325766
0.03387,-0.003597458200325766
