#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19AED
#Date Time: 2025-11-13 11:23:57.696
#Sample rate: 51177.1Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Sweep
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Stop: 1 kHz
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.039358445,-0.02607284312640946
0.039377985,-0.02573738962005
0.039397525,-0.02573738962005
0.039417065,-0.02573738962005
0.039436605,-0.02540193611369054
0.039456145,-0.02540193611369054
0.039475685,-0.02540193611369054
0.039495225,-0.02540193611369054
0.039514765,-0.02573738962005
0.039534305,-0.02607284312640946
0.039553845,-0.02640829663276891
0.039573385,-0.02674375013912838
0.039592925,-0.02707920364548783
0.039612465,-0.02741465715184729
0.039632005,-0.02775011065820675
0.039651545,-0.02842101767092567
0.039671085,-0.02875647117728512
0.039690625,-0.0297628316963635
0.039710165,-0.03009828520272296
0.039729705,-0.03076919221544187
0.039749245,-0.03144009922816079
0.039768785,-0.0321110062408797
0.039788325,-0.03278191325359862
0.039807865,-0.03345282026631753
0.039827405,-0.03412372727903645
0.039846945,-0.03479463429175537
0.039866485,-0.03546554130447428
0.039886025,-0.03580099481083374
0.039905565,-0.03647190182355266
0.039925105,-0.03714280883627158
0.039944645,-0.03781371584899049
0.039964185,-0.03848462286170941
0.039983725,-0.03915552987442833
0.040003265,-0.03982643688714724
0.040022805,-0.04049734389986616
0.040042345,-0.04083279740622561
0.04006188500000001,-0.04183915792530399
0.040081425,-0.04217461143166344
0.040100965,-0.04284551844438236
0.040120505,-0.04351642545710128
0.040140045,-0.04385187896346074
0.040159585,-0.04418733246982019
0.040179125,-0.04452278597617965
0.040198665,-0.04485823948253911
0.040218205,-0.04485823948253911
0.04023774500000001,-0.04519369298889857
0.040257285,-0.04519369298889857
0.040276825,-0.04519369298889857
0.040296365,-0.04519369298889857
0.040315905,-0.04485823948253911
0.040335445,-0.04485823948253911
0.040354985,-0.04485823948253911
0.040374525,-0.04418733246982019
0.040394065,-0.04385187896346074
