Time (s),Channel 1 (V)
-7.81252,-0.001920190668528475
-7.810566870000001,-0.005274725732123056
-7.80861374,-0.005274725732123056
-7.806660610000001,-0.005610179238482514
-7.80470748,-0.005610179238482514
-7.80275435,-0.005274725732123056
-7.80080122,-0.005274725732123056
-7.79884809,-0.005274725732123056
-7.79689496,-0.004939272225763598
-7.79494183,-0.005274725732123056
-7.7929887,-0.005274725732123056
-7.79103557,-0.005274725732123056
-7.78908244,-0.005610179238482514
-7.78712931,-0.005610179238482514
-7.785176180000001,-0.005274725732123056
-7.78322305,-0.005274725732123056
-7.781269920000001,-0.004939272225763598
-7.77931679,-0.004939272225763598
-7.777363660000001,-0.005274725732123056
-7.77541053,-0.005274725732123056
-7.7734574,-0.005610179238482514
-7.77150427,-0.005610179238482514
-7.76955114,-0.005274725732123056
-7.76759801,-0.005274725732123056
-7.76564488,-0.005274725732123056
-7.76369175,-0.004939272225763598
-7.76173862,-0.004939272225763598
-7.759785490000001,-0.005274725732123056
-7.75783236,-0.005274725732123056
-7.755879230000001,-0.005610179238482514
-7.7539261,-0.005610179238482514
-7.751972970000001,-0.005274725732123056
-7.75001984,-0.005274725732123056
-7.748066710000001,-0.004939272225763598
-7.74611358,-0.004939272225763598
-7.74416045,-0.005274725732123056
-7.74220732,-0.005274725732123056
-7.74025419,-0.005274725732123056
-7.73830106,-0.005610179238482514
-7.73634793,-0.005274725732123056
-7.7343948,-0.005274725732123056
-7.73244167,-0.005274725732123056
-7.730488540000001,-0.00460381871940414
-7.72853541,-0.004939272225763598
-7.726582280000001,-0.005274725732123056
-7.72462915,-0.005274725732123056
-7.722676020000001,-0.005610179238482514
-7.72072289,-0.005610179238482514
-7.71876976,-0.005274725732123056
-7.71681663,-0.005274725732123056
-7.7148635,-0.004939272225763598
-7.71291037,-0.004939272225763598
-7.71095724,-0.005274725732123056
-7.70900411,-0.005274725732123056
-7.70705098,-0.005274725732123056
-7.70509785,-0.005610179238482514
-7.70314472,-0.005610179238482514
-7.701191590000001,-0.005274725732123056
-7.69923846,-0.005274725732123056
