Time (s),Channel 1 (V)
-0.005116000000000001,-0.009300167808436554
-0.005096000000000001,-0.008629260795717656
-0.005076000000000001,-0.008293807289358187
-0.005056000000000001,-0.007958353782998721
-0.005036000000000001,-0.007622900276639263
-0.005016,-0.006951993263920347
-0.004996,-0.006616539757560888
-0.004976,-0.006951993263920347
-0.004956,-0.007622900276639263
-0.004936,-0.008293807289358178
-0.004916,-0.008964714302077095
-0.004896,-0.009300167808436554
-0.004876,-0.008964714302077095
-0.004856,-0.008629260795717637
-0.004836,-0.008293807289358159
-0.004816,-0.007622900276639253
-0.004796,-0.007287446770279786
-0.004776000000000001,-0.006616539757560908
-0.004756000000000001,-0.006616539757560888
-0.004736000000000001,-0.006616539757560888
-0.004716000000000001,-0.006951993263920347
-0.004696000000000001,-0.007287446770279805
-0.004676,-0.008293807289358178
-0.004656,-0.008293807289358178
-0.004636,-0.008293807289358178
-0.004616,-0.007958353782998721
-0.004596,-0.007958353782998721
-0.004576,-0.007622900276639263
-0.004556,-0.007287446770279805
-0.004536,-0.006951993263920347
-0.004516,-0.006951993263920337
-0.004496,-0.006616539757560888
-0.004476,-0.006616539757560908
-0.004456000000000001,-0.007287446770279786
-0.004436000000000001,-0.007958353782998702
-0.004416000000000001,-0.008629260795717618
-0.004396000000000001,-0.008629260795717637
-0.004376000000000001,-0.008629260795717637
-0.004356,-0.008629260795717637
-0.004336,-0.007958353782998721
-0.004316,-0.007958353782998721
-0.004296,-0.007958353782998721
-0.004276,-0.007622900276639263
-0.004256,-0.007622900276639263
-0.004236,-0.007287446770279805
-0.004216,-0.007622900276639263
-0.004196,-0.008293807289358178
-0.004176,-0.008964714302077095
-0.004156,-0.008964714302077103
-0.004136,-0.009300167808436545
-0.004116000000000001,-0.008964714302077105
-0.004096000000000001,-0.008964714302077095
-0.004076000000000001,-0.008629260795717648
-0.004056000000000001,-0.008293807289358178
-0.004036000000000001,-0.007958353782998721
-0.004016,-0.007622900276639263
-0.003996,-0.007622900276639263
-0.003976,-0.007958353782998721
-0.003956,-0.008629260795717637
-0.003936,-0.008629260795717637
-0.003916,-0.008964714302077095
-0.003896,-0.008629260795717637
-0.003876,-0.008629260795717637
-0.003856,-0.008629260795717637
-0.003836,-0.008293807289358178
-0.003816,-0.008293807289358178
-0.003796,-0.007958353782998721
-0.003776,-0.007622900276639263
-0.003756,-0.007287446770279805
-0.003736,-0.007287446770279805
-0.003716,-0.007622900276639263
-0.003696,-0.008293807289358178
-0.003676,-0.008293807289358178
-0.003656,-0.008629260795717637
-0.003636,-0.008293807289358178
-0.003616,-0.007958353782998721
-0.003596,-0.007958353782998721
-0.003576,-0.007958353782998721
-0.003556,-0.007622900276639263
-0.003536,-0.007622900276639263
-0.003516,-0.007287446770279805
-0.003496,-0.007287446770279805
-0.003476,-0.007622900276639263
-0.003456,-0.007622900276639263
-0.003436,-0.007958353782998721
-0.003416,-0.007958353782998721
-0.003396,-0.007958353782998721
-0.003376,-0.007958353782998721
-0.003356,-0.007622900276639263
-0.003336,-0.007958353782998721
-0.003316,-0.007622900276639263
-0.003296,-0.007622900276639263
-0.003276,-0.007287446770279805
-0.003256,-0.007287446770279805
-0.003236,-0.007622900276639263
-0.003216,-0.007622900276639263
-0.003196,-0.007958353782998721
-0.003176,-0.008293807289358178
-0.003156,-0.008293807289358178
-0.003136,-0.007622900276639263
-0.003116,-0.007622900276639263
-0.003096,-0.007622900276639263
-0.003076,-0.007958353782998721
-0.003056,-0.007958353782998721
-0.003036,-0.007958353782998721
-0.003016,-0.007958353782998721
-0.002996,-0.007958353782998721
