#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19AED
#Date Time: 2025-11-13 12:03:43.698
#Sample rate: 500000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Sweep
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Stop: 1 kHz
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.008190666666666666,-0.003932911706685223
-0.008188666666666665,-0.003597458200325613
-0.008186666666666667,-0.00326200469396646
-0.008184666666666666,-0.003262004693966307
-0.008182666666666666,-0.003597458200325766
-0.008180666666666666,-0.003932911706685223
-0.008178666666666666,-0.003597458200325766
-0.008176666666666665,-0.003597458200325918
-0.008174666666666665,-0.003932911706685376
-0.008172666666666667,-0.004268365213044529
-0.008170666666666666,-0.003597458200325766
-0.008168666666666666,-0.003932911706685223
-0.008166666666666666,-0.003597458200325766
-0.008164666666666666,-0.003932911706685223
-0.008162666666666665,-0.003597458200325918
-0.008160666666666667,-0.003932911706685071
-0.008158666666666666,-0.003932911706685223
-0.008156666666666666,-0.003597458200325766
-0.008154666666666666,-0.003932911706685223
-0.008152666666666666,-0.003932911706685223
-0.008150666666666665,-0.003597458200325766
-0.008148666666666665,-0.003597458200325918
-0.008146666666666667,-0.003932911706685071
-0.008144666666666666,-0.003932911706685223
-0.008142666666666666,-0.003597458200325766
-0.008140666666666666,-0.003262004693966307
-0.008138666666666666,-0.003597458200325766
-0.008136666666666665,-0.003932911706685223
-0.008134666666666665,-0.003932911706685071
-0.008132666666666667,-0.003597458200325918
-0.008130666666666666,-0.003597458200325766
-0.008128666666666666,-0.003597458200325766
-0.008126666666666666,-0.003262004693966307
-0.008124666666666665,-0.003597458200325766
-0.008122666666666665,-0.003597458200325766
-0.008120666666666667,-0.003597458200325766
-0.008118666666666666,-0.003932911706685071
-0.008116666666666666,-0.003597458200325766
-0.008114666666666666,-0.004268365213044681
-0.008112666666666666,-0.003932911706685223
-0.008110666666666665,-0.003597458200325766
-0.008108666666666665,-0.003597458200325766
-0.008106666666666667,-0.003597458200325766
-0.008104666666666666,-0.003262004693966307
