#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19AED
#Date Time: 2025-11-13 12:42:04.135
#Sample rate: 50000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Disabled
#Mode: Sweep
#Type: Sine
#Frequency: 100 Hz
#Period: 10 ms
#Stop: 1 kHz
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.081915,-0.002926551187606849
-0.081895,-0.003262004693966307
-0.08187499999999999,-0.002926551187607002
-0.081855,-0.003262004693966307
-0.08183499999999999,-0.003262004693966307
-0.081815,-0.003262004693966307
-0.08179499999999999,-0.002926551187606849
-0.081775,-0.003262004693966155
-0.08175499999999999,-0.002926551187606849
-0.08173499999999999,-0.003262004693966155
-0.081715,-0.002926551187606849
-0.08169499999999999,-0.003262004693966307
-0.081675,-0.003262004693966307
-0.08165499999999999,-0.002926551187606849
-0.081635,-0.003262004693966307
-0.08161499999999999,-0.002926551187606849
-0.081595,-0.003262004693966155
-0.08157499999999999,-0.003262004693966307
-0.08155499999999999,-0.003262004693966155
-0.081535,-0.002926551187606849
-0.08151499999999999,-0.003262004693966155
-0.081495,-0.002926551187606849
-0.08147499999999999,-0.003262004693966307
-0.081455,-0.002926551187607002
-0.08143499999999999,-0.002926551187606849
-0.081415,-0.002926551187606849
-0.081395,-0.002926551187606849
-0.08137499999999999,-0.003262004693966155
-0.081355,-0.002926551187606849
-0.08133499999999999,-0.002926551187606849
-0.081315,-0.002926551187606849
-0.08129499999999999,-0.002926551187606849
-0.081275,-0.002926551187606849
-0.08125499999999999,-0.002926551187606849
-0.081235,-0.002926551187606849
-0.081215,-0.002926551187606849
-0.08119499999999999,-0.002926551187606849
-0.081175,-0.002926551187606849
-0.08115499999999999,-0.002926551187606849
-0.081135,-0.002926551187606849
-0.08111499999999999,-0.002926551187606849
-0.081095,-0.002926551187606849
-0.08107499999999999,-0.002926551187606849
-0.08105499999999999,-0.002926551187606849
-0.081035,-0.002926551187606849
-0.08101499999999999,-0.002926551187606849
-0.080995,-0.002926551187606849
-0.08097499999999999,-0.002926551187606849
-0.080955,-0.002926551187606849
-0.08093499999999999,-0.003262004693966307
-0.080915,-0.003262004693966307
-0.08089499999999999,-0.002926551187606849
-0.08087499999999999,-0.002926551187607002
-0.080855,-0.003262004693966307
-0.08083499999999999,-0.003262004693966307
-0.080815,-0.003262004693966307
-0.08079499999999999,-0.003262004693966307
-0.080775,-0.002926551187607002
-0.08075499999999999,-0.002926551187606849
-0.080735,-0.002926551187606849
-0.080715,-0.002926551187606849
-0.08069499999999999,-0.002926551187606849
-0.080675,-0.002926551187606849
-0.08065499999999999,-0.003262004693966307
-0.080635,-0.002926551187606849
-0.08061499999999999,-0.002926551187606849
-0.080595,-0.003262004693966155
-0.08057499999999999,-0.003262004693966307
-0.080555,-0.003262004693966307
-0.080535,-0.002926551187606849
-0.08051499999999999,-0.002926551187606849
-0.080495,-0.002926551187606849
-0.08047499999999999,-0.003262004693966307
-0.080455,-0.003262004693966307
-0.08043499999999999,-0.003262004693966307
-0.080415,-0.002926551187607002
-0.08039499999999999,-0.003262004693966307
-0.08037499999999999,-0.003262004693966155
-0.080355,-0.002926551187606849
-0.08033499999999999,-0.003262004693966307
-0.080315,-0.003262004693966307
-0.08029499999999999,-0.002926551187606849
-0.080275,-0.003262004693966307
-0.08025499999999999,-0.003262004693966307
-0.080235,-0.002926551187607002
-0.08021499999999999,-0.002926551187606849
-0.08019499999999999,-0.003262004693966307
-0.080175,-0.003262004693966307
-0.08015499999999999,-0.003262004693966307
-0.080135,-0.003262004693966307
-0.08011499999999999,-0.003262004693966307
-0.080095,-0.002926551187606849
-0.08007499999999999,-0.003262004693966307
-0.080055,-0.003262004693966307
-0.080035,-0.002926551187606849
-0.08001499999999999,-0.003262004693966307
-0.079995,-0.003262004693966307
-0.07997499999999999,-0.003262004693966307
-0.079955,-0.003262004693966307
-0.07993499999999999,-0.002926551187606849
-0.079915,-0.002926551187606849
-0.07989499999999999,-0.002926551187606849
-0.079875,-0.003262004693966155
-0.079855,-0.003262004693966307
-0.07983499999999999,-0.002926551187607002
-0.079815,-0.003262004693966307
-0.07979499999999999,-0.002926551187606849
-0.079775,-0.002926551187606849
-0.07975499999999999,-0.002926551187606849
-0.079735,-0.002926551187606849
-0.07971499999999999,-0.002926551187606849
-0.07969499999999999,-0.002926551187607002
-0.079675,-0.003262004693966307
-0.07965499999999999,-0.002926551187607002
-0.079635,-0.003262004693966307
-0.07961499999999999,-0.002926551187606849
-0.079595,-0.002926551187606849
-0.07957499999999999,-0.002926551187606849
-0.079555,-0.002926551187606849
-0.07953499999999999,-0.003262004693966307
-0.07951499999999999,-0.003262004693966307
-0.079495,-0.003262004693966307
-0.07947499999999999,-0.003262004693966155
-0.079455,-0.002926551187606849
-0.07943499999999999,-0.003262004693966307
-0.079415,-0.003262004693966307
-0.07939499999999999,-0.003262004693966307
-0.079375,-0.003262004693966307
-0.07935499999999999,-0.003262004693966307
-0.07933499999999999,-0.002926551187607002
-0.079315,-0.003262004693966307
-0.07929499999999999,-0.002926551187606849
-0.079275,-0.003262004693966307
-0.07925499999999999,-0.003262004693966307
-0.079235,-0.003262004693966307
-0.07921499999999999,-0.003262004693966307
-0.079195,-0.003262004693966307
-0.079175,-0.003262004693966307
-0.07915499999999999,-0.003262004693966307
-0.079135,-0.003262004693966307
-0.07911499999999999,-0.003262004693966307
-0.079095,-0.003262004693966307
-0.07907499999999999,-0.003262004693966307
-0.079055,-0.002926551187607002
-0.07903499999999999,-0.003262004693966307
-0.079015,-0.003262004693966307
-0.078995,-0.002926551187606849
-0.07897499999999999,-0.002926551187606849
-0.078955,-0.002926551187606849
-0.07893499999999999,-0.003262004693966307
-0.078915,-0.003262004693966307
-0.07889499999999999,-0.003262004693966307
-0.078875,-0.003262004693966307
-0.07885499999999999,-0.003262004693966307
-0.07883499999999999,-0.003262004693966307
-0.078815,-0.003262004693966307
-0.07879499999999999,-0.003262004693966155
-0.078775,-0.002926551187606849
-0.07875499999999999,-0.003262004693966307
-0.078735,-0.002926551187606849
-0.07871499999999999,-0.003262004693966307
-0.078695,-0.003262004693966307
-0.07867499999999999,-0.003262004693966307
-0.07865499999999999,-0.003262004693966307
-0.078635,-0.003262004693966307
-0.07861499999999999,-0.003262004693966307
-0.078595,-0.003262004693966307
-0.07857499999999999,-0.002926551187606849
-0.078555,-0.002926551187606849
-0.07853499999999999,-0.002926551187606849
-0.078515,-0.003262004693966155
-0.078495,-0.003262004693966307
-0.07847499999999999,-0.002926551187607002
-0.078455,-0.003262004693966307
-0.07843499999999999,-0.003262004693966307
-0.078415,-0.002926551187606849
-0.07839499999999999,-0.003262004693966307
-0.078375,-0.003262004693966307
-0.07835499999999999,-0.003262004693966307
-0.078335,-0.003262004693966307
-0.078315,-0.002926551187606849
-0.07829499999999999,-0.003262004693966307
-0.078275,-0.003262004693966307
-0.07825499999999999,-0.003262004693966307
-0.078235,-0.003262004693966307
-0.07821499999999999,-0.003597458200325766
-0.078195,-0.002926551187607154
-0.07817499999999999,-0.002926551187606849
-0.07815499999999999,-0.003262004693966155
-0.078135,-0.002926551187606849
-0.07811499999999999,-0.002926551187606849
-0.078095,-0.002926551187606849
-0.07807499999999999,-0.003262004693966307
-0.078055,-0.002926551187606849
