#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A19AED
#Date Time: 2026-04-01 12:33:27.730
#Sample rate: 50000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.08191000000000001,-0.002591097681247391
-0.08189,-0.002255644174887933
-0.08187,-0.002591097681247391
-0.08185000000000001,-0.002591097681247391
-0.08183,-0.002591097681247391
-0.08181000000000001,-0.002591097681247391
-0.08179,-0.002255644174887933
-0.08177000000000001,-0.002591097681247238
-0.08175,-0.002591097681247391
-0.08173,-0.002591097681247391
-0.08171,-0.002591097681247391
-0.08169,-0.002591097681247238
-0.08167000000000001,-0.002255644174887933
-0.08165,-0.002591097681247391
-0.08163000000000001,-0.002591097681247391
-0.08161,-0.002591097681247391
-0.08159000000000001,-0.002591097681247391
-0.08157,-0.002255644174887933
-0.08155,-0.002255644174887933
-0.08153000000000001,-0.002255644174887933
-0.08151,-0.002591097681247391
-0.08149000000000001,-0.002591097681247391
-0.08147,-0.002591097681247391
-0.08145000000000001,-0.002591097681247391
-0.08143,-0.002591097681247391
-0.08141000000000001,-0.002591097681247391
-0.08139,-0.002591097681247391
-0.08137,-0.002591097681247391
-0.08135000000000001,-0.002591097681247391
-0.08133,-0.002591097681247391
-0.08131000000000001,-0.002591097681247391
-0.08129,-0.002591097681247391
-0.08127000000000001,-0.002591097681247391
-0.08125,-0.002255644174887933
-0.08123000000000001,-0.002591097681247238
-0.08121,-0.002255644174887933
-0.08119,-0.002591097681247238
-0.08117000000000001,-0.002255644174887933
-0.08115,-0.002255644174887933
-0.08113000000000001,-0.002591097681247391
-0.08111,-0.002591097681247391
-0.08109000000000001,-0.002591097681247391
-0.08107,-0.002591097681247391
-0.08105,-0.002255644174887933
-0.08103,-0.002255644174887933
-0.08101,-0.002255644174887933
-0.08099000000000001,-0.002255644174887933
-0.08097,-0.002255644174887933
-0.08095000000000001,-0.002255644174887933
-0.08093,-0.002591097681247391
-0.08091000000000001,-0.002591097681247391
-0.08089,-0.002255644174887933
-0.08087,-0.002591097681247391
-0.08085000000000001,-0.002591097681247391
-0.08083,-0.002255644174888086
-0.08081000000000001,-0.002591097681247391
-0.08079,-0.002591097681247391
-0.08077000000000001,-0.002255644174888086
-0.08075,-0.002591097681247391
-0.08073000000000001,-0.002591097681247391
-0.08071,-0.002591097681247391
-0.08069,-0.002591097681247391
-0.08067000000000001,-0.002591097681247391
